GO-Slim term	Cluster frequency	Genome frequency	Genesannotatedtotheterm
nuclear transport	"34 out of 458 genes, 7.4%"	"181 of 6433 genes, 2.8%"	"ARB1,BCP1,BRL1,CRM1,CSL4,DBP5,ENP1,KAP95,MSN5,MTR2,NAB2,NMD3,NOP53,NSP1,NUG1,NUP145,NUP192,NUP57,NUP82,RPF1,RPS15,RPS2,RPS3,RPS5,RSP5,RTP1,SDA1,SPN1,SPT6,SRP1,SUB2,TIF6,UTP22,YDJ1"
protein targeting	"33 out of 458 genes, 7.2%"	"307 of 6433 genes, 4.8%"	"ARL3,ARP2,COG1,COG3,COG4,HRR25,KAP95,NSP1,NUP145,NUP57,NUP82,RTP1,SAM50,SEC61,SEC65,SRP1,SRP14,SSC1,SSS1,SYS1,TIM10,TIM23,TIM44,TIM54,TIM9,TOM40,VMA3,VPS3,VPS45,YDJ1,YPP1,YPT1,YPT6"
mRNA processing	"32 out of 458 genes, 7%"	"170 of 6433 genes, 2.6%"	"CDC28,CFT2,CLF1,CUS1,DED1,LSM2,LSM4,MSL5,NAB2,NAB3,NRD1,PCF11,PFS2,PRP22,PRP38,PRP42,PRP43,PRP46,PRP9,PTI1,RPL30,SMD2,SMX2,SMX3,SNM1,SNP1,SNU13,SNU71,SPT6,SUB2,YJU2,YSF3"
DNA repair	"31 out of 458 genes, 6.8%"	"256 of 6433 genes, 4%"	"ACT1,ADA2,ARP4,CDC28,CDC45,EPL1,HRR25,HTA1,HTB1,MCD1,MCM2,MCM4,MCM7,NSE1,NSE4,NUP145,POL30,PSF1,RAD3,RSC2,SCC2,SFH1,SLD2,SLD3,SMC1,SMC5,SNF2,SNF6,SSL1,SUB2,TFB2"
ribosomal large subunit biogenesis	"30 out of 458 genes, 6.6%"	"104 of 6433 genes, 1.6%"	"AFG2,BRX1,DRS1,HAS1,HRR25,IPI1,IPI3,JIP5,MAK16,MAK21,NIP7,NOP4,NOP53,NUG1,PRP43,RLP7,RPF1,RPL10,RPL17A,RPL25,RPL3,RPL5,RPP0,RRP14,RRP5,SDA1,SNF6,TIF6,URB1,YTM1"
lipid metabolic process	"29 out of 458 genes, 6.3%"	"296 of 6433 genes, 4.6%"	"ACP1,ALG14,CDC28,DPM1,ERG11,ERG20,ERG25,ERG26,ERG9,FAS2,GPI11,GPI12,GPI14,GPI15,GPI8,IDI1,KAP95,LCB1,OAR1,OLE1,PAH1,PGS1,PHO85,PIK1,PLC1,RSP5,SAH1,SMP3,VPS4"
DNA replication	"28 out of 458 genes, 6.1%"	"139 of 6433 genes, 2.2%"	"BRN1,CDC28,CDC45,CDC6,CLF1,DBF4,DOA4,GLC7,IPI1,IPI3,MCD1,MCM2,MCM4,MCM7,NOC3,ORC4,POB3,POL12,POL30,PSF1,RFC5,RPO41,RSC3,SFH1,SLD2,SLD3,SNF2,SPT16"
organelle assembly	"28 out of 458 genes, 6.1%"	"135 of 6433 genes, 2.1%"	"ARP4,BRX1,CBF2,CDC28,CDC3,CEP3,CTF13,DRS1,ESF2,IPI1,IPI3,LSM4,MAK21,MPS1,MRD1,RPF1,RPL10,RPL25,RPL3,RPL5,RPP0,RPS31,RRP5,RRP7,SCM3,SEC18,TIF5,YPT6"
chromosome segregation	"28 out of 458 genes, 6.1%"	"203 of 6433 genes, 3.2%"	"ASK1,BRN1,CBF2,CDC14,CDC20,CDC28,CDC48,CDC55,CEP3,DAD2,DAM1,DSN1,GLC7,HRR25,MCD1,MPS1,NSL1,POL30,RFC5,RSC2,SCC2,SCM3,SFH1,SMC1,SMC5,SPC24,SPC34,YCG1"
RNA splicing	"25 out of 458 genes, 5.5%"	"144 of 6433 genes, 2.2%"	"CLF1,CUS1,DED1,LSM2,LSM4,MNE1,MSL5,MSS18,PRP22,PRP38,PRP42,PRP43,PRP46,PRP9,RPL30,SEN15,SMD2,SMX2,SMX3,SNP1,SNU13,SNU71,SUB2,YJU2,YSF3"
regulation of cell cycle	"25 out of 458 genes, 5.5%"	"233 of 6433 genes, 3.6%"	"ASK1,CDC14,CDC20,CDC24,CDC25,CDC28,CDC33,CDC37,CDC42,CDC55,CEP3,CKS1,DAD2,DAM1,DBF4,GLC7,MPS1,RHO1,RSC3,SDA1,SFH1,SLD2,SMI1,SPC34,YCG1"
proteolysis involved in cellular protein catabolic process	"25 out of 458 genes, 5.5%"	"216 of 6433 genes, 3.4%"	"CDC20,CDC48,DOA4,PRE10,PRE2,PRE3,PRE4,PRE5,PRE7,PUP1,PUP2,PUP3,RPN12,RPN3,RPN5,RPN6,RPT1,RPT2,RPT3,RPT5,RSP5,SCM3,SEC13,SEC61,YDJ1"
organelle fission	"25 out of 458 genes, 5.5%"	"302 of 6433 genes, 4.7%"	"ASK1,BRN1,CBF2,CDC14,CDC20,CDC24,CDC28,CDC42,CDC48,CDC55,CEP3,DBF4,DSN1,EBP2,GLC7,HRR25,MCD1,MPS1,POL30,SAR1,SCC2,SMC1,STU2,TUB4,YCG1"
cytoplasmic translation	"24 out of 458 genes, 5.2%"	"180 of 6433 genes, 2.8%"	"MTG2,RPL10,RPL15A,RPL17A,RPL18A,RPL1B,RPL25,RPL28,RPL3,RPL30,RPL32,RPL33A,RPL42A,RPL5,RPP0,RPS13,RPS15,RPS3,RPS31,RPS5,TIF34,TIF35,TIF5,TUB4"
RNA catabolic process	"23 out of 458 genes, 5.0%"	"132 of 6433 genes, 2.1%"	"CDC33,CDC48,CSL4,DBP2,LSM4,MTR3,NAB2,NAB3,NRD1,PAB1,POP1,POP3,POP4,POP8,RPB7,RPP1,RPT2,RRP42,RRP45,SKI6,SSN3,SUP35,YPT1"
nucleobase-containing compound transport	"23 out of 458 genes, 5.0%"	"143 of 6433 genes, 2.2%"	"BRL1,CRM1,CSL4,DBP5,DOA4,ENP1,MSN5,MTR2,NAB2,NSP1,NUP145,NUP82,RPS15,RPS2,RPS3,RPS5,RSP5,SPN1,SPT6,SUB2,UTP22,VRG4,YDJ1"
mitochondrion organization	"22 out of 458 genes, 4.8%"	"265 of 6433 genes, 4.1%"	"ACO1,ACT1,ARC35,ARP2,DML1,MDM35,NFS1,OLE1,PET117,RCF1,RPO41,RSP5,SAM50,SAR1,SSC1,TIM10,TIM23,TIM44,TIM54,TIM9,TOM40,YDJ1"
vesicle organization	"19 out of 458 genes, 4.1%"	"81 of 6433 genes, 1.3%"	"BET1,DOA4,SAR1,SEC13,SEC16,SEC18,SEC20,SEC22,SEC23,SEC24,SEC31,SEC6,SED5,SYS1,USE1,USO1,VPS4,VPS45,YPT1"
"DNA-templated transcription, initiation"	"18 out of 458 genes, 3.9%"	"73 of 6433 genes, 1.1%"	"GAL11,MED11,MOT1,NCB2,POB3,REB1,ROX3,RPB7,RPC17,RPT1,RPT3,RPT5,SPT16,SPT6,TAF12,TAF4,TFA1,TOA2"
ribosome assembly	"17 out of 458 genes, 3.7%"	"59 of 6433 genes, 0.9%"	"BRX1,DRS1,ESF2,IPI1,IPI3,MAK21,MRD1,RPF1,RPL10,RPL25,RPL3,RPL5,RPP0,RPS31,RRP5,RRP7,TIF5"
response to chemical	"16 out of 458 genes, 3.5%"	"446 of 6433 genes, 6.9%"	"ACT1,AFG2,CDC42,CDC48,EOS1,GCR1,GLC7,RSP5,SEC13,SEC61,SPT6,SSN3,SWI3,YDJ1,YPP1,YPT1"
DNA recombination	"16 out of 458 genes, 3.5%"	"185 of 6433 genes, 2.9%"	"ADA2,CDC28,CDC45,KAE1,MCD1,MCM2,MCM4,MCM7,PSF1,RAD3,RSC2,SCC2,SLD2,SLD3,SMC5,SNF2"
snoRNA processing	"16 out of 458 genes, 3.5%"	"45 of 6433 genes, 0.7%"	"CBF5,CSL4,MTR3,NAB3,NOP1,NRD1,POP1,POP3,POP4,POP8,PTI1,PXR1,RPP1,RRP42,RRP45,SKI6"
transmembrane transport	"15 out of 458 genes, 3.3%"	"234 of 6433 genes, 3.6%"	"ATP15,ATP16,ATP3,SAM50,SEC61,SEC65,SRP14,SSC1,SSS1,TIM10,TIM23,TIM44,TIM54,TIM9,TOM40"
signaling	"15 out of 458 genes, 3.3%"	"245 of 6433 genes, 3.8%"	"CDC24,CDC25,CDC37,CDC42,CYR1,HSF1,LST8,PHO85,PLC1,RHO1,SEC13,SOG2,TAP42,TUS1,YPT1"
carbohydrate metabolic process	"14 out of 458 genes, 3.1%"	"198 of 6433 genes, 3.1%"	"CDC28,FBA1,FBP1,GCR1,GFA1,GLC7,KRE5,PHO85,RAP1,RHO1,SNF2,SNF4,SNF6,SWI3"
translational initiation	"14 out of 458 genes, 3.1%"	"61 of 6433 genes, 0.9%"	"CDC33,DED1,GCD11,GCD2,GCD6,GCD7,NIP1,PAB1,RPB7,SUI1,SUI3,TIF34,TIF35,TIF5"
ribosomal subunit export from nucleus	"14 out of 458 genes, 3.1%"	"46 of 6433 genes, 0.7%"	"ARB1,BCP1,CRM1,MTR2,NMD3,NOP53,NSP1,NUG1,NUP82,RPF1,RPS3,RSP5,SDA1,TIF6"
regulation of DNA metabolic process	"14 out of 458 genes, 3.1%"	"107 of 6433 genes, 1.7%"	"CDC28,CDC48,CDC6,DOA4,IPI1,IPI3,POL30,PXR1,RAD3,RSC3,SFH1,SSC1,TBF1,TEN1"
organelle fusion	"14 out of 458 genes, 3.1%"	"89 of 6433 genes, 1.4%"	"BET1,CDC42,CDC48,MPS2,PAH1,RHO1,SEC18,SEC20,SEC22,SEC6,SED5,USE1,USO1,VPS45"
transcription from RNA polymerase I promoter	"13 out of 458 genes, 2.8%"	"68 of 6433 genes, 1.1%"	"MOT1,REB1,RPA190,RPA43,RPB10,RPB5,RPC10,RPC19,RPC40,SNF6,TAP42,UTP15,UTP5"
endocytosis	"13 out of 458 genes, 2.8%"	"97 of 6433 genes, 1.5%"	"ACT1,ARC35,CLC1,DOA4,HRR25,NEO1,PAN1,RHO1,RSP5,RVS161,SCD5,VMA3,YPP1"
membrane fusion	"13 out of 458 genes, 2.8%"	"76 of 6433 genes, 1.2%"	"BET1,CDC42,CDC48,PAH1,RHO1,SEC18,SEC20,SEC22,SEC6,SED5,USE1,USO1,VPS45"
protein phosphorylation	"12 out of 458 genes, 2.6%"	"197 of 6433 genes, 3.1%"	"CDC28,CDC37,DBF4,HRR25,MOB2,MPS1,PHO85,RAD3,SNF4,SSL1,SSN3,TFB2"
peptidyl-amino acid modification	"12 out of 458 genes, 2.6%"	"151 of 6433 genes, 2.3%"	"ACT1,ADA2,ARP4,CDC28,EPL1,HRR25,KAP95,SMT3,SPT6,TAF12,UBA2,ULP1"
meiotic cell cycle	"12 out of 458 genes, 2.6%"	"282 of 6433 genes, 4.4%"	"ACT1,ARP2,CDC14,CDC20,CDC28,CDC55,DBF4,DSN1,GLC7,HRR25,POL30,YCG1"
cell wall organization or biogenesis	"12 out of 458 genes, 2.6%"	"198 of 6433 genes, 3.1%"	"ACT1,ARP2,BIG1,GFA1,GPI14,KRE5,LST8,PHO85,PMI40,RHO1,SMI1,TUS1"
tRNA processing	"12 out of 458 genes, 2.6%"	"109 of 6433 genes, 1.7%"	"HRR25,KAE1,NAB3,NFS1,NRD1,POP1,POP3,POP4,POP8,RPP1,RSP5,SEN15"
regulation of transport	"12 out of 458 genes, 2.6%"	"85 of 6433 genes, 1.3%"	"CDC42,CLC1,HRR25,NUP145,NUP192,RHO1,RHO3,RSP5,SAR1,SEC23,SEC6,VPS45"
"DNA-templated transcription, termination"	"11 out of 458 genes, 2.4%"	"43 of 6433 genes, 0.7%"	"GLC7,NAB3,NRD1,PCF11,PTI1,REB1,RPB11,RPB3,RPC11,SPT6,SUP45"
cellular amino acid metabolic process	"11 out of 458 genes, 2.4%"	"199 of 6433 genes, 3.1%"	"ALA1,FRS2,HTS1,ILS1,MES1,MST1,PRO3,SAH1,THS1,VAS1,YDR341C"
cofactor metabolic process	"11 out of 458 genes, 2.4%"	"179 of 6433 genes, 2.8%"	"ACP1,FBA1,FOL2,GCR1,HEM12,ISA1,ISD11,NFS1,RAP1,RKI1,RSP5"
protein modification by small protein conjugation or removal	"11 out of 458 genes, 2.4%"	"170 of 6433 genes, 2.6%"	"CDC20,CDC48,KAP95,RPN5,RSP5,SCM3,SMT3,UBA1,UBA2,ULP1,YDJ1"
regulation of translation	"11 out of 458 genes, 2.4%"	"105 of 6433 genes, 1.6%"	"EFB1,GCD11,GCD2,GCD6,GCD7,PAB1,RPB7,RPS2,RPS5,TIF5,TUB4"
RNA modification	"10 out of 458 genes, 2.2%"	"172 of 6433 genes, 2.7%"	"CBF5,DIM1,HRR25,KAE1,NFS1,NHP2,NOP1,NOP10,NOP56,RRP9"
regulation of protein modification process	"10 out of 458 genes, 2.2%"	"111 of 6433 genes, 1.7%"	"ADA2,CDC20,CDC37,CDC48,DBF4,GLC7,KAP95,MOB2,SCM3,SPT6"
cell budding	"10 out of 458 genes, 2.2%"	"58 of 6433 genes, 0.9%"	"ACT1,CDC28,CDC42,GLC7,HYM1,MOB2,PAN1,RHO1,SOG2,TAO3"
vacuole organization	"10 out of 458 genes, 2.2%"	"88 of 6433 genes, 1.4%"	"ACT1,CDC42,NEO1,PAH1,RHO1,SEC18,VMA3,VPS3,VPS45,YPT6"
transcription from RNA polymerase III promoter	"10 out of 458 genes, 2.2%"	"41 of 6433 genes, 0.6%"	"NAB2,NCB2,RPB10,RPB5,RPC10,RPC11,RPC17,RPC19,RPC37,RPC40"
"DNA-templated transcription, elongation"	"10 out of 458 genes, 2.2%"	"97 of 6433 genes, 1.5%"	"RSC2,RSC3,RSC4,RSC58,RSC6,SFH1,SPN1,SPT16,SPT6,SUB2"
nucleobase-containing small molecule metabolic process	"10 out of 458 genes, 2.2%"	"198 of 6433 genes, 3.1%"	"ATP15,ATP16,ATP3,CDC8,FBA1,GCR1,GUK1,RAP1,RKI1,SAH1"
histone modification	"9 out of 458 genes, 2%"	"114 of 6433 genes, 1.8%"	"ACT1,ADA2,ARP4,CDC48,EPL1,GLC7,NOP1,SPT6,TAF12"
endosomal transport	"9 out of 458 genes, 2%"	"102 of 6433 genes, 1.6%"	"DOP1,RSP5,SEC27,SYS1,VPS4,VPS45,VPS53,YPT1,YPT6"
generation of precursor metabolites and energy	"9 out of 458 genes, 2%"	"154 of 6433 genes, 2.4%"	"ACO1,CDC28,FBA1,GCR1,GLC7,OAR1,PAH1,PHO85,RAP1"
monocarboxylic acid metabolic process	"9 out of 458 genes, 2%"	"140 of 6433 genes, 2.2%"	"ACP1,FAS2,FBA1,GCR1,ISA1,OAR1,OLE1,RAP1,RSP5"
tRNA aminoacylation for protein translation	"9 out of 458 genes, 2%"	"36 of 6433 genes, 0.6%"	"ALA1,FRS2,HTS1,ILS1,MES1,MST1,THS1,VAS1,YDR341C"
cellular ion homeostasis	"8 out of 458 genes, 1.7%"	"128 of 6433 genes, 2%"	"GLC7,NFS1,VMA11,VMA3,VMA5,VPH2,VPS3,VPS45"
cytokinesis	"8 out of 458 genes, 1.7%"	"84 of 6433 genes, 1.3%"	"ACT1,CDC14,CDC24,CDC3,CHS2,GLC7,PAN1,RHO1"
protein folding	"8 out of 458 genes, 1.7%"	"95 of 6433 genes, 1.5%"	"CCT5,CCT7,CCT8,CNS1,ERO1,SSC1,TCP1,YDJ1"
ion transport	"8 out of 458 genes, 1.7%"	"263 of 6433 genes, 4.1%"	"ALR1,ATP15,ATP16,ATP3,DOA4,MDM35,NEO1,VMA3"
biological process unknown	"8 out of 458 genes, 1.7%"	"1133 of 6433 genes, 17.6%"	"CTR86,KSH1,PBR1,YDR355C,YIL060W,YLR339C,YLR379W,YNL114C"
protein lipidation	"7 out of 458 genes, 1.5%"	"45 of 6433 genes, 0.7%"	"DPM1,GPI11,GPI12,GPI14,GPI15,GPI8,SMP3"
nucleus organization	"7 out of 458 genes, 1.5%"	"66 of 6433 genes, 1.0%"	"BRL1,KAP95,MPS2,NUP145,NUP192,NUP57,SEC13"
organelle inheritance	"7 out of 458 genes, 1.5%"	"60 of 6433 genes, 0.9%"	"ACT1,ARC35,ARP2,OLE1,RET2,VPS3,VPS45"
mitochondrial translation	"7 out of 458 genes, 1.5%"	"167 of 6433 genes, 2.6%"	"ALA1,HTS1,MRP49,MRPL11,MRPL37,MST1,YML6"
telomere organization	"7 out of 458 genes, 1.5%"	"78 of 6433 genes, 1.2%"	"CDC28,KAE1,POL12,PXR1,RAP1,TBF1,TEN1"
cell morphogenesis	"6 out of 458 genes, 1.3%"	"29 of 6433 genes, 0.5%"	"CDC42,DOP1,GLC7,HYM1,RSP5,TAO3"
exocytosis	"6 out of 458 genes, 1.3%"	"49 of 6433 genes, 0.8%"	"ACT1,CDC42,RHO3,SEC10,SEC2,SEC6"
translational elongation	"5 out of 458 genes, 1.1%"	"334 of 6433 genes, 5.2%"	"EFB1,GCD11,RPS2,RPS5,YEF3"
protein acylation	"5 out of 458 genes, 1.1%"	"66 of 6433 genes, 1.0%"	"ACT1,ADA2,ARP4,EPL1,TAF12"
response to osmotic stress	"4 out of 458 genes, 0.9%"	"92 of 6433 genes, 1.4%"	"CDC14,CDC37,RVS161,TTI2"
oligosaccharide metabolic process	"4 out of 458 genes, 0.9%"	"27 of 6433 genes, 0.4%"	"CDC28,SNF2,SNF6,SWI3"
vitamin metabolic process	"4 out of 458 genes, 0.9%"	"43 of 6433 genes, 0.7%"	"ISA1,RIB1,RIB7,RKI1"
response to heat	"4 out of 458 genes, 0.9%"	"73 of 6433 genes, 1.1%"	"GLC7,HSF1,NCB2,TTI2"
conjugation	"3 out of 458 genes, 0.7%"	"124 of 6433 genes, 1.9%"	"CDC42,RSP5,RVS161"
transposition	"3 out of 458 genes, 0.7%"	"110 of 6433 genes, 1.7%"	"RAD3,RPC40,RTT105"
response to starvation	"3 out of 458 genes, 0.7%"	"56 of 6433 genes, 0.9%"	"PHO4,RVS161,SNF2"
cellular respiration	"3 out of 458 genes, 0.7%"	"83 of 6433 genes, 1.3%"	"ACO1,OAR1,PAH1"
sporulation	"3 out of 458 genes, 0.7%"	"133 of 6433 genes, 2.1%"	"ACT1,ARP2,GLC7"
protein dephosphorylation	"3 out of 458 genes, 0.7%"	"49 of 6433 genes, 0.8%"	"CDC14,CDC55,GLC7"
invasive growth in response to glucose limitation	"3 out of 458 genes, 0.7%"	"59 of 6433 genes, 0.9%"	"CDC42,GAL11,SNF2"
lipid transport	"2 out of 458 genes, 0.4%"	"68 of 6433 genes, 1.1%"	"MDM35,NEO1"
protein glycosylation	"2 out of 458 genes, 0.4%"	"62 of 6433 genes, 1%"	"EOS1,PMI40"
response to oxidative stress	"2 out of 458 genes, 0.4%"	"105 of 6433 genes, 1.6%"	"ACT1,EOS1"
protein alkylation	"2 out of 458 genes, 0.4%"	"50 of 6433 genes, 0.8%"	"NOP1,SPT6"
pseudohyphal growth	"1 out of 458 genes, 0.2%"	"74 of 6433 genes, 1.2%"	CDC42
peroxisome organization	"1 out of 458 genes, 0.2%"	"50 of 6433 genes, 0.8%"	SNF4
